No,weigh(g), PH,humidity(in),temperature,humidity(out),category
A1,410,7.5,8,25,85,yes
A2,560,7.8,2,35,40,no
A3,490,8,5.2,34,60,no
A4,500,7.8,5,35,40,no
A5,480,7.8,9.5,25,85,yes
A6,590,8,4.2,35,40,no
A7,445,7.5,2,32,20,no
A8,500,7.8,7.2,25,73,yes
A9,478,8,6.5,34,66,no
A10,690,8,10,25,73,yes
A11,500,7,10,25,73,yes
A12,545,7.5,10,25,73,yes
A13,610,7.2,8,25,73,yes
A14,565,7.5,6.1,25,73,yes
A15,510,7.8,7.5,25,73,yes
A16,430,7.5,6.8,25,73,yes
A17,455,7.8,4,25,73,yes
A18,610,7,10,25,73,yes
A19,400,7.2,7,25,73,yes
A20,460,7.5,6.1,25,73,yes
A21,650,7.1,10,25,73,yes
A22,768,7.8,2,25,73,no
A23,510,7.3,9,25,73,yes
A24,615,7.8,6.2,25,73,yes
A25,600,7.2,8,25,73,yes
A26,480,7.2,8,25,73,yes
A27,550,7.8,10,25,73,yes
A28,410,7.5,2.8,35,46,no
A29,375,7.2,9,25,73,yes
A30,520,7.8,7,25,73,yes
A31,430,8,6.1,25,73,yes
A32,690,7.5,7.8,25,73,yes
A33,510,7.2,10,25,75,yes
A34,460,7,10,25,75,yes
A35,500,7.3,7,25,75,yes
A36,600,7.8,9,25,75,yes
A37,670,7,10,25,75,yes
A38,470,7.2,4.9,36,50,no
A39,460,7.2,10,25,75,yes
A40,540,7.2,9.5,25,75,yes
A41,500,7.8,9,25,75,yes
A42,470,7.2,9.8,25,75,yes
A43,500,7.8,10,25,75,yes
A44,425,7.8,5.2,29,50,no
A45,600,7.8,8,25,75,yes
A46,570,7.8,7,25,75,yes
A47,500,7.8,9,25,75,yes
A48,410,8,7,25,75,yes
A49,500,7.8,9,25,75,yes
A50,360,7.8,7,25,75,yes
A51,420,7,8,25,75,yes
A52,590,8,7,25,75,yes
A53,465,7,8.5,25,75,yes
A54,360,7.8,5,25,75,yes
A55,410,7.5,6.5,25,75,yes
A56,440,7.5,6.8,25,75,yes
A57,500,7,8.5,25,75,yes
A58,510,7.8,8.8,25,75,yes
A59,440,7.5,7,25,75,yes
A60,520,7.5,6,25,75,yes
A61,415,7.2,9.5,25,75,yes
A62,615,7.8,5.5,25,75,yes
A63,460,7.5,6.5,25,75,yes
A64,540,7.5,8.5,25,75,yes
A65,430,7.5,7.8,25,75,yes
A66,540,7,10,25,75,yes
A67,490,8,7.2,25,75,yes
A68,440,7.5,3,25,75,yes
A69,560,7.8,7.5,25,75,yes
A70,390,8,8,25,75,yes
A71,500,8,7.2,25,75,yes
A72,410,8,6.5,25,75,yes
A73,580,7,10,25,75,yes
A74,450,7.8,6,24,75,yes
A75,570,7.5,6.8,16,75,yes
A76,510,7.8,6.8,28,75,yes
A77,590,7.5,9,35,75,yes
A78,490,7.5,8,35,75,yes
A79,540,7.2,10,35,75,yes
A80,359,8,4.5,29,40,no
A81,420,7,10,35,75,yes
A82,710,8,9,35,75,yes
A83,440,7.2,8,35,75,yes
A84,495,8,7,35,75,yes
A85,500,7,10,35,75,yes
A86,435,7.8,7,35,75,yes
A87,520,7,8,35,75,yes
A88,590,8,9.5,35,75,yes
A89,420,8,7.2,35,75,yes
A90,550,8,8.9,35,75,yes
A91,575,7,10,35,75,yes
A92,470,7.8,6.8,35,75,yes
A93,440,8,6.8,35,75,yes
A94,520,8,8.2,22,75,yes
A95,475,7.8,7,22,75,yes
A96,445,7.8,7,22,75,yes
A97,440,7.8,8.5,22,75,yes
A98,600,7.2,10,22,75,yes
A99,430,7.8,6.8,22,75,yes
A100,740,7.5,10,22,75,yes
